,trial,bias,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0,0,0.0,0.376,0.026,0.326,0.425,0.0,0.0,2938.0,3236.0,1.0
1,1,0.0,0.385,0.027,0.336,0.436,0.0,0.0,3391.0,3218.0,1.0
2,2,0.0,0.441,0.026,0.394,0.491,0.0,0.0,3199.0,3189.0,1.0
3,3,0.0,0.479,0.027,0.43,0.529,0.0,0.0,3128.0,3289.0,1.0
4,4,0.0,0.439,0.027,0.39,0.489,0.0,0.0,3229.0,3051.0,1.0
5,5,0.0,0.356,0.026,0.305,0.404,0.0,0.0,2992.0,3102.0,1.0
6,6,0.0,0.424,0.027,0.373,0.471,0.0,0.0,2901.0,3083.0,1.0
7,7,0.0,0.371,0.026,0.322,0.419,0.0,0.0,3265.0,3189.0,1.0
8,8,0.0,0.389,0.026,0.338,0.435,0.0,0.0,3179.0,2916.0,1.0
9,9,0.0,0.456,0.027,0.403,0.506,0.001,0.0,2929.0,3133.0,1.0
10,0,0.1,0.602,0.034,0.541,0.668,0.001,0.0,4638.0,3427.0,1.0
11,1,0.1,0.6,0.034,0.537,0.664,0.001,0.0,3974.0,3176.0,1.0
12,2,0.1,0.32,0.027,0.271,0.371,0.001,0.0,2816.0,3130.0,1.0
13,3,0.1,0.406,0.026,0.357,0.455,0.0,0.0,3344.0,3045.0,1.0
14,4,0.1,0.413,0.026,0.364,0.46,0.0,0.0,2877.0,3352.0,1.0
15,5,0.1,0.603,0.035,0.541,0.672,0.001,0.0,3774.0,3543.0,1.0
16,6,0.1,0.408,0.027,0.36,0.46,0.001,0.0,2350.0,2986.0,1.0
17,7,0.1,0.489,0.033,0.426,0.55,0.001,0.0,4225.0,3271.0,1.0
18,8,0.1,0.423,0.027,0.372,0.472,0.001,0.0,2740.0,2931.0,1.0
19,9,0.1,0.349,0.026,0.302,0.4,0.0,0.0,2901.0,3015.0,1.0
20,0,0.2,0.361,0.026,0.314,0.413,0.0,0.0,3133.0,3183.0,1.0
21,1,0.2,0.408,0.027,0.358,0.461,0.0,0.0,3076.0,2928.0,1.0
22,2,0.2,0.537,0.033,0.474,0.599,0.001,0.0,3639.0,3261.0,1.0
23,3,0.2,0.352,0.027,0.305,0.405,0.0,0.0,2979.0,3424.0,1.0
24,4,0.2,0.386,0.025,0.338,0.434,0.0,0.0,3614.0,3299.0,1.0
25,5,0.2,0.648,0.032,0.587,0.706,0.0,0.0,4046.0,3564.0,1.0
26,6,0.2,0.4,0.027,0.35,0.449,0.0,0.0,2906.0,3138.0,1.0
27,7,0.2,0.364,0.026,0.317,0.414,0.0,0.0,2916.0,3373.0,1.0
28,8,0.2,0.496,0.026,0.446,0.541,0.0,0.0,2760.0,3046.0,1.0
29,9,0.2,0.324,0.026,0.27,0.368,0.0,0.0,3629.0,3366.0,1.0
30,0,0.30000000000000004,0.398,0.027,0.345,0.448,0.001,0.0,2735.0,2956.0,1.0
31,1,0.30000000000000004,0.545,0.031,0.483,0.602,0.001,0.0,3640.0,3352.0,1.0
32,2,0.30000000000000004,0.618,0.034,0.555,0.682,0.0,0.0,4501.0,3091.0,1.0
